,OS,Remission,pCR,pRelapse
CDK2_Squared,0.38476941068282733,0.3769626687408087,0.4076616546237961,0.36964682232931795
CDK4_Squared,0.4207963590653258,0.2703992787472791,0.3623659152211521,0.34350723189006194
CDKN1A_Squared,0.4731097931666229,0.2425252801302655,0.7092499945599329,0.3338262700583692
CDKN2A_Squared,0.36338733642050813,0.386212076054386,2.0,0.3245139761069242
CLPP_Squared,0.441836177018592,0.22819228352860807,0.3639445409109612,0.2897135129435133
COPS5_Squared,0.413926622803749,0.43138799431089536,0.4438982461459113,0.31419461476877664
CREB1_Squared,0.6062643267512136,0.327250917814721,0.5248341623580114,0.2564061045783106
CREB1.pS133_Squared,0.4327377574830711,0.366560383896906,0.3713719805213889,0.3040153368358141
CTNNA1_Squared,0.4312546260508709,0.2944347701914817,0.5505725434228507,0.29443477019148157
CTNNB1_Squared,0.7606718393257113,0.277119650226061,0.33164446290511324,0.2394570872288222
